Jurisdiction,ParentNAEP,ParentCensus,Level,Language,Label,Rank,Description,IsRollup,FootnoteCode,AVSigTestSEMethod
AK,R4,C4,1,1033,Alaska,2,NULL,0,0,Standard
AL,R2,C3,1,1033,Alabama,1,NULL,0,0,Standard
AR,R2,C3,1,1033,Arkansas,4,NULL,0,0,Standard
AS,NULL,NULL,3,1033,American Samoa,4,NULL,0,0,Standard
AZ,R4,C4,1,1033,Arizona,3,NULL,0,0,Standard
C1,NULL,NP,4,1033,Northeast (Census),1,"Includes public schools in Connecticut, Maine, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, and Vermont.",0,0,Standard
C2,NULL,NP,4,1033,Midwest (Census),2,"Includes public schools in Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, and Wisconsin.",0,0,Standard
C3,NULL,NP,4,1033,South (Census),3,"Includes public schools in Alabama, Arkansas, Delaware, District of Columbia, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, North Carolina, Oklahoma, South Carolina, Tennessee, Texas, Virginia, and West Virginia.",0,0,Standard
C4,NULL,NP,4,1033,West (Census),4,"Includes public schools in Alaska, Arizona, California, Colorado, Hawaii, Idaho, Montana, Nevada, New Mexico, Oregon, Utah, Washington, and Wyoming.",0,0,Standard
CA,R4,C4,1,1033,California,5,NULL,0,0,Standard
CO,R4,C4,1,1033,Colorado,6,NULL,0,0,Standard
CT,R1,C1,1,1033,Connecticut,7,NULL,0,0,Standard
DC,R1,C3,1,1033,District of Columbia,9,To be used when comparing District of Columbia to states,0,0,Standard
DD,NULL,NULL,1,1033,DoDEA/DDESS,53,Department of Defense Education Activity/Department of Defense Domestic Dependent Elementary and Secondary Schools,0,0,Standard
DE,R1,C3,1,1033,Delaware,8,NULL,0,0,Standard
DO,NULL,NULL,1,1033,DoDEA/DoDDS,54,Department of Defense Education Activity/Department of Defense Dependents Schools (overseas),0,0,Standard
DS,NT,NT,1,1033,DoDEA,10,Department of Defense Education Activity,0,0,Standard
FL,R2,C3,1,1033,Florida,11,NULL,0,0,Standard
GA,R2,C3,1,1033,Georgia,12,NULL,0,0,Standard
GU,NULL,NULL,3,1033,Guam,5,NULL,0,0,Standard
HI,R4,C4,1,1033,Hawaii,13,NULL,0,0,Standard
IA,R3,C2,1,1033,Iowa,17,NULL,0,0,Standard
ID,R4,C4,1,1033,Idaho,14,NULL,0,0,Standard
IL,R3,C2,1,1033,Illinois,15,NULL,0,0,Standard
IN,R3,C2,1,1033,Indiana,16,NULL,0,0,Standard
KS,R3,C2,1,1033,Kansas,18,NULL,0,0,Standard
KY,R2,C3,1,1033,Kentucky,19,NULL,0,0,Standard
LA,R2,C3,1,1033,Louisiana,20,NULL,0,0,Standard
MA,R1,C1,1,1033,Massachusetts,23,NULL,0,0,Standard
MD,R1,C3,1,1033,Maryland,22,NULL,0,0,Standard
ME,R1,C1,1,1033,Maine,21,NULL,0,0,Standard
MI,R3,C2,1,1033,Michigan,24,NULL,0,0,Standard
MN,R3,C2,1,1033,Minnesota,25,NULL,0,0,Standard
MO,R3,C2,1,1033,Missouri,27,NULL,0,0,Standard
MS,R2,C3,1,1033,Mississippi,26,NULL,0,0,Standard
MT,R4,C4,1,1033,Montana,28,NULL,0,0,Standard
NC,R2,C3,1,1033,North Carolina,35,NULL,0,0,Standard
